ticker,error_type,predicted_url,gold_url,reason,employee_stratum,prefecture,human_silver_ok,human_error_owner,human_notes
2120001052398,wrong_other,https://teraigroup.com,https://t-terai.co.jp/,"top_clear:name_in_title:100,name_in_body:100,fetch_ok",51-300,大阪府,,,
2120001150680,wrong_other,https://www.matsumurainc.jp/?lang=ja,https://www.matsumura-weld.co.jp/,"top_clear:name_in_title:100,name_in_body:100,domain_tokens:matsumura,tld_prefer:jp",51-300,大阪府,,,
2120001156240,wrong_other,https://chouyou.co.jp,http://www.choyo-net.co.jp,"top_clear:name_in_title:83,name_in_body:100,domain_tokens:chouyou,tld_prefer:co.jp",51-300,大阪府,,,
2122001021242,wrong_other,https://www.shoutoku.co.jp/,https://www.shotoku-netsushori.co.jp/,"top_clear:name_in_body:100,domain_tokens:shoutoku,tld_prefer:co.jp,fetch_ok",51-300,大阪府,,,
2180002074683,wrong_other,https://takaraseisakusho.com,https://takara-ss.co.jp/,"top_clear:name_in_body:100,domain_tokens:takaraseisak,takaraseisakusho,fetch_ok",0-20,愛知県,,,
3080101000657,wrong_other,https://sakurakougyou.co.jp,http://www.sakura39.co.jp,"top_clear:domain_tokens:sakurakougyo,sakurakougyou,tld_prefer:co.jp,fetch_ok",0-20,静岡県,,,
3080401010026,wrong_other,https://asahidensou.jp,https://www.ad-asahidenso.co.jp/,"top_clear:domain_tokens:asahidensou,tld_prefer:jp,fetch_ok",301+,静岡県,,,
3122001024129,wrong_other,https://fujitakinzoku.com,http://www.fujita-kinzoku.jp,"top_clear:name_in_title:100,name_in_body:100,domain_tokens:fujitakinzok,fujitakinzoku,fetch_ok",0-20,大阪府,,,
3180001055196,wrong_other,https://buru.jp,https://ad-blue.jp/,"top_clear:domain_tokens:buru,tld_prefer:jp,fetch_ok",0-20,愛知県,,,
4120001017705,wrong_other,https://shouei.co.jp,http://www.shoei-printing.com/,"top_clear:name_in_body:100,domain_tokens:shouei,tld_prefer:co.jp,fetch_ok",51-300,大阪府,,,
5080101011413,wrong_other,https://satouseiki.co.jp,http://www.satoseiki.co.jp/,"top_clear:domain_tokens:satouseiki,tld_prefer:co.jp,fetch_ok",51-300,静岡県,,,
5120001066569,wrong_other,https://taiseikakou.co.jp,https://www.taisei-g.co.jp,"top_clear:domain_tokens:taiseikakou,tld_prefer:co.jp,fetch_ok",51-300,大阪府,,,
5120001159117,wrong_other,https://tiera.com,http://tierra-club.com/,"top_clear:name_in_title:100,name_in_body:100,domain_tokens:tiera,fetch_ok",0-20,大阪府,,,
5120101000989,wrong_other,https://www.oosakikougyou.com/,https://www.osaki-jpn.com/,"top_clear:name_in_title:88,name_in_body:100,domain_tokens:oosakikougyo,oosakikougyou,fetch_ok",51-300,大阪府,,,
6010001217933,wrong_other,https://oriba.jp,https://www.oliverinc.co.jp,"top_clear:domain_tokens:oriba,tld_prefer:jp,fetch_ok",301+,愛知県,,,
6080001001232,wrong_other,https://kyouritsudenki.co.jp,https://www.kdwan.co.jp,"top_clear:name_in_body:100,domain_tokens:kyouritsuden,kyouritsudenki,tld_prefer:co.jp,fetch_ok",301+,静岡県,,,
6080001004838,wrong_other,https://matsuo.jp,http://www.lockpin.co.jp/,"top_clear:name_in_title:80,name_in_body:80,domain_tokens:matsuo,tld_prefer:jp",0-20,静岡県,,,
6180001094134,wrong_other,https://kawanigroup.com,http://k-kawani.jp/kawanihp/,"top_clear:name_in_title:100,name_in_body:100,domain_tokens:kawani,fetch_ok",21-50,愛知県,,,
7080101010751,wrong_other,https://itoukougyou.co.jp,https://ito-k-g.com/,"top_clear:domain_tokens:itoukougyou,tld_prefer:co.jp,fetch_ok",21-50,静岡県,,,
7080401016127,wrong_other,https://sanwagroup.jp,http://www.kksanwa.com/company/,"top_clear:name_in_title:100,name_in_body:100,tld_prefer:jp,fetch_ok",21-50,静岡県,,,
7180301013445,wrong_other,https://yutakakougyou.co.jp,https://yutaka-japan.com/recruit/work/,"top_clear:domain_tokens:yutakakougyo,yutakakougyou,tld_prefer:co.jp,fetch_ok",301+,愛知県,,,
8122001022615,wrong_other,https://koushingroup.com,https://www.kk-koshin.net/,"top_clear:name_in_title:100,name_in_body:100,domain_tokens:koushin,fetch_ok",21-50,大阪府,,,
8180001029245,wrong_other,https://asahikinzoku.jp,https://www.asahilaser.jp/recruit/,"fetch_ok_breaks_tie:domain_tokens:asahikinzoku,tld_prefer:jp,fetch_ok",21-50,愛知県,,,
9120001019630,wrong_other,https://eishinkikou.jp,http://www.eitatsu-kikou.com/,"top_clear:name_in_title:88,domain_tokens:eishinkikou,tld_prefer:jp,fetch_ok",0-20,大阪府,,,
9120001149386,wrong_other,https://kyoueisangyou.jp,http://www.kyoeisangyo-ltd.co.jp/,"fetch_ok_breaks_tie:domain_tokens:kyoueisangyo,kyoueisangyou,tld_prefer:jp,fetch_ok",51-300,大阪府,,,
9180001053731,wrong_other,https://www.abizu.com/,http://www.arbiz.co.jp/,"top_clear:name_in_body:100,domain_tokens:abizu,fetch_ok",51-300,愛知県,,,
1180001024335,wrong_related_domain,https://maruwa.co.jp,https://www.maruwanet.co.jp/csrsdgs/communication/,"top_clear:name_in_body:100,domain_tokens:maruwa,tld_prefer:co.jp,fetch_ok",21-50,愛知県,,,
2080401016024,wrong_related_domain,https://miyaden.co.jp,https://www.miyaden.com/,"top_clear:name_in_title:100,name_in_body:100,domain_tokens:miyaden,tld_prefer:co.jp",0-20,静岡県,,,
2180001035389,wrong_related_domain,https://kitagawa.com,https://www.kitagawa-ind.com/,"top_clear:name_in_title:100,domain_tokens:kitagawa,fetch_ok",301+,愛知県,,,
4120001058385,wrong_related_domain,https://bonchi.jp,http://www.bonchicorp.co.jp,"fetch_ok_breaks_tie:domain_tokens:bonchi,tld_prefer:jp,fetch_ok",301+,大阪府,,,
